auto_id;id_csv;id;devEui;temperature;humidity;pressure;pm1_0;pm2_5;pm10;so2;o3;co;no2;noise_level;createdDateTime;pm2_5_aqi;pm10_aqi;so2_aqi;o3_aqi;co_aqi;no2_aqi;aqi;primary_pollutant;customer_tz_createdDateTime
709085;0;1275402;4417935af5e4505d;27.14;64;980;1;2;2;0;0.01;0;0;62;2023-08-12 6:07:13;8;2;0;0;0;0;8;pm2_5;2023-08-11 23:07:13
709086;0;1275408;4417935af3d82f50;27.02;68;985;5;7;7;0;0.01;0;0;61;2023-08-12 6:08:51;29;6;0;0;0;0;29;pm2_5;2023-08-11 23:08:51
709087;0;1275425;4417935af3905f62;26.25;74;944;5;6;7;0;0.04;0;0;60;2023-08-12 6:17:38;25;6;0;0;0;0;25;pm2_5;2023-08-11 23:17:38
709088;0;1275424;44179354c7c83489;24.19;83;933;4;4;6;0;0.01;0;0;53;2023-08-12 6:17:38;17;6;0;0;0;0;17;pm2_5;2023-08-11 23:17:38
709089;0;1275428;44179354c798205a;26.84;70;949;2;2;3;0;0.01;0;0;63;2023-08-12 6:19:07;8;3;0;0;0;0;8;pm2_5;2023-08-11 23:19:07
709090;0;1275420;4417935aff00388d;26.82;67;940;45;33;59;0;0.01;0;0;66;2023-08-12 6:15:50;95;53;0;0;0;0;95;pm2_5;2023-08-11 23:15:50
709091;0;1275427;44179354c7782e90;26.36;70;945;0;1;1;0;0.01;0;0;57;2023-08-12 6:19:06;4;1;0;0;0;0;4;pm2_5;2023-08-11 23:19:06
709092;0;1275423;4417935b01081c59;25.03;82;938;26;28;34;0;0.01;66;0;56;2023-08-12 6:17:04;84;31;0;0;500;0;500;co;2023-08-11 23:17:04
709093;0;1275419;4417935b00b83a53;27.37;65;943;3;4;4;10.7;0.01;0;0;71;2023-08-12 6:15:24;17;4;500;0;0;0;500;so2;2023-08-11 23:15:24
709094;0;1275421;4417935af40cae86;26.69;66;986;1;2;2;0;0.01;0;0;55;2023-08-12 6:15:50;8;2;0;0;0;0;8;pm2_5;2023-08-11 23:15:50
